SynId,KeyWord,Gloss,ParentId,SonId
SID-00015713-V,oversleep,"sleep longer than intended",NULL,NULL
SID-00015806-V,sleep_late,"sleep later than usual or customary ""On Sundays I sleep in""",NULL,NULL
SID-00015946-V,hole_up,"sleep during winter ""Bears must eat a lot of food before they hibernate in their caves""",NULL,NULL
SID-00016183-V,estivate,"sleep during summer ""certain animals estivate""",NULL,NULL
SID-00016380-V,drowse,"be on the verge of sleeping ""The students were drowsing in the 8 AM class""",NULL,NULL
SID-00016573-V,nod,"be almost asleep ""The old man sat nodding by the fireplace""",NULL,NULL
SID-00016702-V,nod,"let the head fall forward through drowsiness ""The old man was nodding in his chair""",NULL,NULL
SID-00016855-V,zonk_out,"fall asleep fast as when one is extremely tired ""after the long drive we zonked out and slept for 10 hours""",NULL,NULL
SID-00017031-V,snore,"breathe noisily during one's sleep ""she complained that her husband snores""",NULL,NULL
SID-00017282-V,nod_off,"change from a waking to a sleeping state ""he always falls asleep during lectures""",NULL,NULL
SID-00017531-V,bunk_down,"go to bed ""We bedded down at midnight""",NULL,NULL
SID-00017674-V,doss_down,"sleep in a convenient place ""You can crash here though it's not very comfortable""",NULL,NULL
SID-00017865-V,turn_in,"prepare for sleep ""I usually turn in at midnight"" ""He goes to bed at the crack of dawn""",NULL,NULL
SID-00018158-V,uprise,"get up and out of bed ""I get up at 7 A.M. every day"" ""They rose early"" ""He uprose at night""",NULL,NULL
SID-00018405-V,get_up,"cause to rise ""The sergeant got us up at 2 A.M.""",NULL,NULL
SID-00018526-V,waken,"stop sleeping ""She woke up to the sound of the alarm clock""",NULL,NULL
SID-00018813-V,waken,"cause to become awake or conscious ""He was roused by the drunken men in the street"" ""Please wake me at 6 AM.""",NULL,NULL
SID-00019182-V,reawaken,"awaken once again",NULL,NULL
SID-00019273-V,cause_to_sleep,"make fall asleep ""The soft music caused us to fall asleep""",NULL,NULL
SID-00019448-V,affect,"act physically on have an effect upon ""the medicine affects my heart rate""",NULL,NULL
SID-00019792-V,attack,"begin to injure ""The cancer cells are attacking his liver"" ""Rust is attacking the metal""",NULL,NULL
SID-00019982-V,ulcerate,"affect with an ulcer ""Her stomach was ulcerated""",NULL,NULL
SID-00020133-V,wake,"be awake be alert be there",NULL,NULL
SID-00020259-V,stay_up,"not go to bed ""Don't stay up so late--you have to go to work tomorrow"" ""We sat up all night to watch the election""",NULL,NULL
SID-00020449-V,keep_up,"prevent from going to bed at night ""The anticipation of the trip kept the children up all night"" ""I kept myself up all night studying for the exam""",NULL,NULL
