verb,verbid
roll,SID-01866610-V
somersault,SID-01867697-V
push,SID-01871979-V
swing,SID-01877355-V
swing,SID-01877620-V
walk,SID-01882170-V
sport,SID-01883716-V
creep,SID-01885845-V
shake,SID-01889610-V
dance,SID-01894649-V
twist,SID-01895519-V
trip,SID-01900408-V
wave,SID-01901783-V
swim,SID-01904293-V
swim,SID-01904649-V
walk,SID-01904930-V
turn,SID-01907258-V
turn,SID-01909812-V
run,SID-01914947-V
climb,SID-01923909-V
run,SID-01926311-V
drive,SID-01930874-V
skate,SID-01936753-V
ski,SID-01938426-V
sail,SID-01945516-V
ride,SID-01955984-V
sit,SID-01957529-V
gallop,SID-01960296-V
crawl,SID-01961974-V
dive,SID-01962671-V
spring,SID-01963942-V
burst,SID-01964634-V
leap,SID-01965156-V
fall,SID-01972298-V
raise,SID-01973759-V
raise,SID-01974062-V
drop,SID-01976841-V
fall,SID-01984119-V
back,SID-01997119-V
follow,SID-01998432-V
fire,SID-02002410-V
reach,SID-02022162-V
bow,SID-02040273-V
revolve,SID-02043982-V
rotate,SID-02045043-V
swivel,SID-02046572-V
pass,SID-02049696-V
close,SID-02054382-V
flow,SID-02067689-V
spurt,SID-02068413-V
turn,SID-02090435-V
slide,SID-02090990-V
dance,SID-02099075-V
ride,SID-02102398-V
smell,SID-02123672-V
smell,SID-02124748-V
watch,SID-02128653-V
look,SID-02130524-V
speak,SID-02135607-V
show,SID-02137132-V
cover,SID-02147109-V
show,SID-02148788-V
watch,SID-02150948-V
winkle,SID-02159890-V
focus,SID-02161922-V
shine,SID-02162947-V
listen,SID-02169891-V
scream,SID-02173336-V
taste,SID-02191546-V
pass,SID-02231473-V
beg,SID-02270815-V
mug,SID-02277663-V
rob,SID-02321391-V
steal,SID-02321757-V
open,SID-02358034-V
race,SID-02369948-V
remove,SID-02404224-V
collaborate,SID-02416751-V
play,SID-02418686-V
walk,SID-02518839-V
fail,SID-02523784-V
experiment,SID-02532595-V
check,SID-02533282-V
help,SID-02547586-V
save,SID-02550868-V
relax,SID-02602212-V
wait,SID-02637938-V
threaten,SID-02697120-V
sleep,SID-02701445-V
stand,SID-02702120-V
stand,SID-02702368-V
escape,SID-02723232-V
photograph,SID-02734653-V
open,SID-02744651-V
flare,SID-02762806-V
flare,SID-02762981-V
flicker,SID-02763609-V
